eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,verbatimIdentification,taxonomicStatus,taxonRank,lifeStage,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,Comments,basisOfRecord,occurrenceStatus
IYS2022-Shimada-4-20-Trawl,IYS2022-Shimada-4-20-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-26T00:00:00Z,Alicia Billings,ALL INCOMPLETE,HumanObservation,present
IYS2022-Shimada-4-21-Trawl,IYS2022-Shimada-4-21-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-27T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-22-Trawl,IYS2022-Shimada-4-22-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,5,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-27T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-23-Trawl,IYS2022-Shimada-4-23-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,117,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-28T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,2,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-25-Trawl,IYS2022-Shimada-4-25-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,1,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-02T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-1,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",Aequorea,accepted,Genus,NA,Aequorea sp.,0,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-02-10T00:00:00Z,Jim Murphy,NA,HumanObservation,present
IYS2022-Shimada-4-19-Trawl,IYS2022-Shimada-4-19-Trawl-2,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,"Latreille, 1816",Amphipod,accepted,Order,NA,Amphipod unident.,1,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,2022-02-26T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-12-Trawl,IYS2022-Shimada-4-12-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-21T00:00:00Z,Alicia Billings,INCOMPLETE,HumanObservation,present
IYS2022-Shimada-4-14-Trawl,IYS2022-Shimada-4-14-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-22T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-15-Trawl,IYS2022-Shimada-4-15-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,4,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-23T00:00:00Z,Alicia Billings,NA,HumanObservation,present
